sec_cde	sec_name	list_date	mkt_sort
1	平安银行	1991/4/3	s
2	万  科Ａ	1991/1/29	s
4	国华网安	1990/12/1	s
5	ST星源	1990/12/10	s
6	深振业Ａ	1992/4/27	s
7	*ST全新	1992/4/13	s
8	神州高铁	1992/5/7	s
9	中国宝安	1991/6/25	s
10	美丽生态	1995/10/27	s
11	深物业A	1992/3/30	s
12	南  玻Ａ	1992/2/28	s
14	沙河股份	1992/6/2	s
16	深康佳Ａ	1992/3/27	s
17	*ST中华A	1992/3/31	s
19	深粮控股	1992/10/12	s
20	深华发Ａ	1992/4/28	s
21	深科技	1994/2/2	s
23	深天地Ａ	1993/4/29	s
25	特  力Ａ	1993/6/21	s
26	飞亚达	1993/6/3	s
27	深圳能源	1993/9/3	s
28	国药一致	1993/8/9	s
29	深深房Ａ	1993/9/15	s
30	富奥股份	1993/9/29	s
31	大悦城	1993/10/8	s
32	深桑达Ａ	1993/10/28	s
34	神州数码	1994/5/9	s
35	中国天楹	1994/4/8	s
36	华联控股	1994/6/17	s
37	深南电A	1994/7/1	s
38	深大通	1994/8/8	s
39	中集集团	1994/4/8	s
40	东旭蓝天	1994/8/8	s
42	中洲控股	1994/9/21	s
45	深纺织Ａ	1994/8/15	s
46	泛海控股	1994/9/12	s
48	京基智农	1994/11/1	s
49	德赛电池	1995/3/20	s
50	深天马Ａ	1995/3/15	s
55	方大集团	1996/4/15	s
56	皇庭国际	1996/7/8	s
58	深 赛 格	1996/12/26	s
59	华锦股份	1997/1/30	s
60	中金岭南	1997/1/23	s
61	农 产 品	1997/1/10	s
62	深圳华强	1997/1/30	s
63	中兴通讯	1997/11/18	s
65	北方国际	1998/6/5	s
66	中国长城	1997/6/26	s
68	华控赛格	1997/6/11	s
69	华侨城Ａ	1997/9/10	s
70	特发信息	2000/5/11	s
78	海王生物	1998/12/18	s
88	盐 田 港	1997/7/28	s
89	深圳机场	1998/4/20	s
90	天健集团	1999/7/21	s
96	广聚能源	2000/7/24	s
99	中信海直	2000/7/31	s
100	TCL科技	2004/1/30	s
150	宜华健康	2000/8/7	s
151	中成股份	2000/9/6	s
153	丰原药业	2000/9/20	s
155	川能动力	2000/9/26	s
156	华数传媒	2000/9/6	s
157	中联重科	2000/10/12	s
158	常山北明	2000/7/24	s
159	国际实业	2000/9/26	s
166	申万宏源	2015/1/26	s
301	东方盛虹	2000/5/29	s
333	美的集团	2013/9/18	s
338	潍柴动力	2007/4/30	s
400	许继电气	1997/4/18	s
401	冀东水泥	1996/6/14	s
402	金 融 街	1996/6/26	s
403	派林生物	1996/6/28	s
404	长虹华意	1996/6/19	s
407	胜利股份	1996/7/3	s
408	藏格控股	1996/6/28	s
409	云鼎科技	1996/6/27	s
410	*ST沈机	1996/7/18	s
411	英特集团	1996/7/16	s
413	东旭光电	1996/9/25	s
415	渤海租赁	1996/7/16	s
416	民生控股	1996/7/19	s
417	合肥百货	1996/8/12	s
419	通程控股	1996/8/16	s
420	吉林化纤	1996/8/2	s
421	南京公用	1996/8/6	s
422	ST宜化	1996/8/15	s
423	东阿阿胶	1996/7/29	s
425	徐工机械	1996/8/28	s
426	兴业矿业	1996/8/28	s
428	华天酒店	1996/8/8	s
429	粤高速Ａ	1998/2/20	s
430	张家界	1996/8/29	s
488	晨鸣纸业	2000/11/20	s
498	山东路桥	1997/6/9	s
501	鄂武商Ａ	1992/11/20	s
502	*ST绿景	1992/11/23	s
503	国新健康	1992/11/30	s
504	南华生物	1992/12/8	s
505	京粮控股	1992/12/21	s
506	中润资源	1993/3/12	s
507	珠海港	1993/3/26	s
509	*ST华塑	1993/5/7	s
510	新金路	1993/5/7	s
513	丽珠集团	1993/10/28	s
514	渝 开 发	1993/7/12	s
516	国际医学	1993/8/9	s
517	荣安地产	1993/8/6	s
518	四环生物	1993/9/8	s
519	中兵红箭	1993/10/8	s
520	长航凤凰	1993/10/25	s
521	长虹美菱	1993/10/18	s
523	*ST浪奇	1993/11/8	s
524	岭南控股	1993/11/18	s
525	ST红太阳	1993/10/28	s
526	学大教育	1993/11/1	s
528	柳    工	1993/11/18	s
529	广弘控股	1993/11/18	s
530	冰山冷热	1993/12/8	s
531	穗恒运Ａ	1994/1/6	s
532	华金资本	1994/1/3	s
533	顺钠股份	1994/1/3	s
534	万泽股份	1994/1/10	s
536	华映科技	1993/11/26	s
537	广宇发展	1993/12/10	s
538	云南白药	1993/12/15	s
539	粤电力Ａ	1993/11/26	s
540	中天金融	1994/2/2	s
541	佛山照明	1993/11/23	s
543	皖能电力	1993/12/20	s
544	中原环保	1993/12/8	s
545	金浦钛业	1993/12/15	s
546	金圆股份	1993/12/15	s
547	航天发展	1993/11/30	s
548	湖南投资	1993/12/20	s
550	江铃汽车	1993/12/1	s
551	创元科技	1994/1/6	s
552	靖远煤电	1994/1/6	s
553	安道麦A	1993/12/3	s
554	泰山石油	1993/12/15	s
555	神州信息	1994/4/8	s
557	西部创业	1994/6/17	s
558	莱茵体育	1994/5/9	s
559	万向钱潮	1994/1/10	s
560	我爱我家	1994/2/2	s
561	烽火电子	1994/5/9	s
563	陕国投Ａ	1994/1/10	s
564	*ST大集	1994/1/10	s
565	渝三峡Ａ	1994/4/8	s
566	海南海药	1994/5/25	s
567	海德股份	1994/5/25	s
568	泸州老窖	1994/5/9	s
